Date,Open,High,Low,Close,Volume,Close_clean,Noise
2022-06-01,122.25599670410156,125.1790008544922,120.62249755859376,121.68399810791016,127528000,131.5091517582234,-9.82515365031324
2022-06-02,121.68399810791016,125.61000061035156,120.04499816894533,125.51100158691406,100560000,130.5413529071405,-5.03035132022643
2022-06-03,124.1999969482422,124.4000015258789,121.04650115966795,122.3499984741211,97604000,129.11468844406016,-6.76468996993907
2022-06-06,125.25,128.99000549316406,123.80999755859376,124.79000091552734,135269000,127.04549604149514,-2.2554951259677978
2022-06-07,122.01000213623048,124.0999984741211,120.62999725341795,123.0,85156700,124.27596491284775,-1.2759649128477548
2022-06-08,122.61000061035156,123.75,120.75,121.18000030517578,64926600,120.75666299180217,0.423337313373608
2022-06-09,119.98999786376952,121.3000030517578,116.0999984741211,116.1500015258789,67029800,116.79775627712785,-0.6477547512489394
2022-06-10,113.41999816894533,114.5,109.0500030517578,109.6500015258789,87266000,112.57386295490173,-2.9238614290228213
2022-06-13,104.19000244140624,106.54000091552734,101.86000061035156,103.66999816894533,99277700,108.4657843879658,-4.795786219020471
2022-06-14,104.19000244140624,104.87999725341795,101.43000030517578,102.30999755859376,69728800,104.68400805457323,-2.374010495979462
2022-06-15,103.86000061035156,109.05999755859376,103.52999877929688,107.66999816894533,85011100,101.50404934750681,6.165948821438519
2022-06-16,104.47000122070312,104.58000183105467,102.01000213623048,103.66000366210938,82186300,98.95805789102333,4.701945771086045
2022-06-17,102.8000030517578,106.9800033569336,102.51000213623048,106.22000122070312,99772100,97.14151810912074,9.078483111582386
2022-06-21,108.1999969482422,111.62999725341795,103.55999755859376,108.68000030517578,70901200,95.73284450775135,12.94715579742443
2022-06-22,107.43000030517578,112.12999725341795,107.0199966430664,108.9499969482422,60040100,94.73811733357033,14.211879614671872
2022-06-23,110.38999938964844,113.0,107.93000030517578,112.44000244140624,64345300,93.75248781045899,18.68751463094725
2022-06-24,112.37999725341795,116.70999908447266,111.43000030517578,116.45999908447266,69867600,92.8342992167344,23.625699867738263
2022-06-27,117.08999633789062,117.9800033569336,112.6999969482422,113.22000122070312,62133200,91.85283129007244,21.36716993063068
2022-06-28,113.5,114.8499984741211,107.04000091552734,107.4000015258789,74942900,90.94407807427649,16.455923451602416
