Date,Open,High,Low,Close,Volume,Close_clean,Noise
2022-06-01,147.08546005363647,148.89092345071006,144.9071417470177,145.91781616210938,74286600,168.67086635657782,-22.753050194468443
2022-06-02,145.05436821890447,148.42978169809749,144.10257959347064,148.37091064453125,72348100,163.70285453830627,-15.33194389377502
2022-06-03,144.14180991397814,145.19172685572278,141.7476357595722,142.65036010742188,88570300,158.61285379994723,-15.962493692525356
2022-06-06,144.2693764860653,145.78046996633253,142.17936438712687,143.39608764648438,71598400,153.54872503466876,-10.152637388184388
2022-06-07,141.63967925937845,146.20236451194296,141.3943732786537,145.91781616210938,67808200,148.48479142943717,-2.5669752673277912
2022-06-08,145.79026939576806,147.05604181726716,144.6913032640919,145.18191528320312,53950200,143.5109087154658,1.6710065677373223
2022-06-09,144.31844471982856,145.17210490927135,139.85387199936835,139.96180725097656,69473000,138.7322455617986,1.229561689177956
2022-06-10,137.64610169004794,138.117085018381,134.48655920841233,134.5552520751953,91437900,134.13433362195406,0.42091845324125643
2022-06-13,130.37521064148712,132.6614640522055,128.97206769596104,129.40380859375,122207100,129.89330823642268,-0.4894996426726834
2022-06-14,130.63038185886012,131.37610685696256,129.01135295389076,130.26731872558594,84784300,126.15875909513441,4.1085596304515235
2022-06-15,131.76858160626196,134.7613181921413,129.67858439406757,132.88717651367188,91533000,123.07878042685255,9.808396086819329
2022-06-16,129.60005747260172,129.90423449299203,126.61712836390116,127.61798095703124,108123900,120.71072023517418,6.907260721857057
2022-06-17,127.62779921111624,130.5812777450833,127.3726714161481,129.08981323242188,134520300,119.20306601419513,9.886747218226745
2022-06-21,130.91491273074396,134.48656772231706,130.8167993077871,133.31890869140625,81000500,118.35008749310673,14.968821198299523
2022-06-22,132.2592024365102,135.17343948860204,131.395735327504,132.80870056152344,73409200,118.12940898890544,14.679291572617998
2022-06-23,134.25108671150673,135.9878425646897,133.0834276529192,135.67385864257812,72433800,118.29865700271823,17.375201639859895
2022-06-24,137.27324957478913,139.24551965514786,137.1457006192552,139.00021362304688,89116800,118.74903419360808,20.251179429438793
2022-06-27,140.02068012877845,140.79585557470105,138.32316657888146,139.00021362304688,70207900,119.41979829841364,19.580415324633236
2022-06-28,139.46136345282662,140.7271357482501,134.74167869464102,134.8594207763672,67083400,120.26277912071002,14.596641655657166
2022-06-29,134.87904343302176,138.0287637570601,134.10386817011943,136.6157989501953,66242400,121.2803744388789,15.335424511316418
2022-06-30,134.67301697127326,135.77198324759192,131.25836106107414,134.15296936035156,98964500,122.5694087670597,11.583560593291864
2022-07-01,133.48571986150768,136.4293921589786,133.1128648849863,136.3214569091797,71051600,124.17538323879951,12.146073670380176
2022-07-05,135.18325151505502,138.951148551157,134.35901187342057,138.90208435058594,73353800,126.07922355614406,12.82286079444188
2022-07-06,138.69599756732754,141.41397685924497,138.43106293485934,140.23651123046875,74064300,128.28179457267004,11.954716657798713
2022-07-07,140.5995991745189,143.79839942455877,140.58979232323185,143.60215759277344,66253700,130.70797798247884,12.8941796102946
2022-07-08,142.5325821547398,144.77959333061295,142.27746932390713,144.27915954589844,64547800,133.1869332395359,11.092226306362534
2022-07-11,142.9349304914586,143.88671918371236,141.08041731246487,142.1499481201172,63141600,135.86995741722748,6.279990702889705
2022-07-12,143.02322474684678,145.66272006961017,142.32656399441228,143.12135314941406,77588800,138.50980178673612,4.611551362677943
2022-07-13,140.30522551606126,143.700252180436,139.4515504526769,142.75828552246094,71185600,141.23106599724315,1.527219525217788
2022-07-14,141.37478416032295,146.1533412106034,140.5603662797928,145.68235778808594,78140700,144.08387927497802,1.5984785131079207
2022-07-15,146.96772607988603,148.0274497717396,145.41739039952375,147.35040283203125,76259900,147.00073644633065,0.34966638570060127
2022-07-18,147.90971463576915,148.7241323716371,143.9455611978647,144.30862426757812,81420900,149.99940947798075,-5.690785210402623
2022-07-19,145.14266864096726,148.3905180514349,144.15163767930207,148.1648406982422,82982400,153.13141257515747,-4.966571876915282
2022-07-20,148.2825708215841,150.8337592919261,147.54665279809592,150.16651916503906,64823400,156.23761942034955,-6.071100255310483
2022-07-21,151.59913522400217,152.6490522792443,149.08720372847873,152.4331817626953,65086600,159.39682395158272,-6.963642188887405
2022-07-22,152.47241748797757,153.34570636779952,150.5295978961148,151.1968231201172,66675400,162.58913099077697,-11.392307870659778
2022-07-25,151.1183577514027,152.12901764079308,149.42084380693566,150.07826232910156,53623900,165.77327017904025,-15.69500784993869
2022-07-26,149.4011670445513,150.21558479499407,147.96858832963514,148.75357055664062,55138700,169.0389993276143,-20.28542877097368
2022-07-27,149.7151553193297,154.37596918243503,149.30304304810883,153.84609985351562,78620700,172.37904331010415,-18.532943456588526
2022-07-28,154.03256675700305,154.68017830567564,151.51082841353704,154.3956298828125,81378700,175.6732778532833,-21.27764797047081
2022-07-29,158.21256599444197,160.5576907977121,156.5052308137223,159.45870971679688,101786900,179.1090873101858,-19.650377593388924
2022-08-01,157.98688125382472,160.51844113720935,157.8691391572039,158.4774932861328,67829400,182.37707787865716,-23.89958459252435
2022-08-02,157.09396729027588,159.36059231885778,156.63279081571793,157.00564575195312,59907000,185.52546072829804,-28.519814976344918
2022-08-03,157.82002947945324,163.46206622509246,157.7317229324355,163.01071166992188,82507500,188.4831997625261,-25.472488092604237
2022-08-04,162.8930191834261,164.05087149041262,161.3426831970874,162.69677734375,55474100,191.188810613655,-28.492033269904994
2022-08-05,160.3680286094797,162.96205765324038,160.16167874542583,162.47076416015625,56697000,193.62704973079252,-31.15628557063627
2022-08-08,163.47298010260957,164.88790765782107,161.34076829816232,161.9990997314453,60276900,195.90137243882577,-33.90227270738046
2022-08-09,161.16392597706255,162.93258559805665,160.40732977942574,162.04824829101562,63135500,197.8741115911023,-35.82586330008667
2022-08-10,164.7601663481459,166.39126422179922,163.99374975557845,166.2930145263672,70170500,199.67248461972227,-33.37947009335508
2022-08-11,167.09876052441393,168.01257432763373,165.26132743753485,165.5561065673828,57149200,201.21417693177003,-35.658070364387214
2022-08-12,166.86292858705644,169.17199900038648,166.45022886043446,169.1032257080078,68039400,202.4536027009585,-33.350376992950686
2022-08-15,168.53332166791955,170.370754508125,168.36628368181792,170.1742401123047,54091700,203.18163467582204,-33.00739456351735
2022-08-16,169.77138205657383,170.6851957704937,168.6708894053126,170.01702880859375,56377100,203.44988609198347,-33.43285728338972
2022-08-17,169.76155547008622,173.08268924248625,169.56504107416526,171.51055908203125,79542000,203.05587824481196,-31.545319162780714
2022-08-18,170.72450960712317,171.8544787813878,170.1054749327735,171.11753845214844,62290100,202.1077373062835,-30.99019885413506
2022-08-19,170.01704154998163,170.71468497495962,168.32699056998192,168.53334045410156,70346300,200.57014564047685,-32.03680518637529
2022-08-22,166.73521001384654,166.9022480242965,164.22960987091767,164.65213012695312,69026800,198.4754055471809,-33.82327542022779
2022-08-23,164.17064162540487,165.7722632709113,163.74812140904885,164.31802368164062,54147100,195.93219812627373,-31.614174444633107
2022-08-24,164.40645810232692,165.18269520734955,163.3550828535949,164.61279296875,53841500,192.99664151056118,-28.383848541811176
2022-08-25,165.84102594330326,167.1773448089003,165.4185207470986,167.0692596435547,51218200,189.7342155565437,-22.664955912989
2022-08-26,167.59986540800332,168.07150295198872,160.71192120457525,160.7708740234375,78961000,186.31207316450954,-25.541199141072042
2022-08-29,158.34389469961232,160.06342201093398,157.03706713692557,158.5699005126953,73314000,182.7426909503143,-24.172790437619
2022-08-30,159.30682979347176,159.72933499269527,154.9736176696823,156.1428985595703,77906200,179.06137025338572,-22.918471693815405
2022-08-31,157.51852057324083,157.78382326299328,154.403721562595,154.48233032226562,87991100,175.57406811539704,-21.091737793131415
2022-09-01,153.91242016030444,155.66142374222144,151.97672265788725,155.20944213867188,74229900,172.1935779734761,-16.98413583480422
2022-09-02,156.9682732301626,157.56765189981036,152.2715085702032,153.0968780517578,76957800,169.06754329344676,-15.970665241688948
2022-09-06,153.7453935980758,154.35459275815265,151.0138028574181,151.83917236328125,73714800,166.3469409742991,-14.507768611017838
2022-09-07,152.1241445003408,153.9419216691413,150.93520749298594,153.24429321289062,87449600,163.78882556430355,-10.544532351412926
2022-09-08,151.9472441951636,153.63729493578492,150.0213671908206,151.7703857421875,84923800,161.53376434631468,-9.763378604127183
2022-09-09,152.76280561990976,155.07189112050955,152.0553417641127,154.6297149658203,68028800,159.4242666546252,-4.794551688804887
2022-09-12,156.81106723949068,161.39974706706778,156.52612358553827,160.58419799804688,104956000,157.2752207888921,3.3089772091547616
2022-09-13,157.11565333541313,157.7445084078153,150.6993615052029,151.1611785888672,122656600,155.24379853253433,-4.08261994366714
2022-09-14,152.0946261536245,154.3644145838136,150.93518075875835,152.60557556152344,87965400,153.18190950871178,-0.5763339471883455
2022-09-15,151.9570788549336,152.5368165999088,148.74403004784534,149.71678161621094,90481100,151.17433756065782,-1.4575559444468809
2022-09-16,148.57701100499813,148.7145726076231,145.78645207689314,148.0758819580078,162278800,149.26327964194323,-1.1873976839354157
2022-09-19,146.71006595451675,151.8686478234834,146.50373107588743,151.7900390625,81474200,147.47421010708845,4.315828955411547
2022-09-20,150.72883799724963,155.32735289857166,150.41441795742156,154.1678924560547,107689800,145.65622499701485,8.511667459039842
2022-09-21,154.6002809008446,155.97591210528554,150.92541402491634,151.04331970214844,101696800,144.01411058663837,7.029209115510071
2022-09-22,149.72662084225365,151.7802241971407,148.28221666613402,150.08035278320312,86652500,142.31240326290836,7.7679495202947635
2022-09-23,148.55735322020942,148.83247642204518,145.97314422465584,147.81057739257812,96029900,140.48889091198677,7.321686480591353
2022-09-26,147.0539962445305,151.0924300246352,147.03434030349507,148.14466857910156,93339400,138.7491562388268,9.395512340274763
2022-09-27,150.08034720002962,152.02586530633175,147.33892101138343,149.11740112304688,84442700,136.8899875509393,12.227413572107565
2022-09-28,145.06916155790836,148.01692291304855,142.31791462782627,147.23085021972656,146691400,135.11698895443132,12.113861265295242
2022-09-29,143.55598373619551,144.16518295071455,138.23034837016746,139.99900817871094,128138200,133.57626372561205,6.422744453098886
