Date,Open,High,Low,Close,Volume,Close_clean,Noise
2022-06-01,113.9135079826018,116.14159098002284,112.3216612422036,112.9583969116211,36606000,115.16483428739171,-2.2064373757706193
2022-06-02,113.0655218882824,116.93305500118844,112.02066027717234,116.6583251953125,37992000,114.99072729485309,1.6675979004594126
2022-06-03,115.11110884827522,115.3679884289148,112.5879638758018,113.60208129882812,26136000,114.69876056757951,-1.0966792687513873
2022-06-06,115.74785337637844,118.36869420913727,115.2117870867129,115.86290740966795,33542000,114.18250261620841,1.6804047934595445
2022-06-07,114.53388373543116,116.72626645111426,114.10889889465038,116.18920135498048,31590000,113.35381110797174,2.835390247008746
2022-06-08,115.80437236671298,117.59854920159584,115.64419719383626,116.23332977294922,26108000,112.1722263845755,4.0611033883737235
2022-06-09,115.37392377581374,117.32926690453378,113.83514351672736,113.89415740966795,25798000,110.78829288341693,3.1058645262510254
2022-06-10,111.52326180460535,112.3504249488664,109.46130149167207,110.25028228759766,41452000,109.18337035063786,1.066911936959798
2022-06-13,105.91113796225396,107.89969964994523,105.24911389802192,105.52037048339844,47252000,107.62116912198348,-2.1007986385850472
2022-06-14,105.66171211229964,107.03981794977923,104.9327364683916,105.84072875976562,33706000,106.20740642986922,-0.36667767010359853
2022-06-15,107.6552372659266,110.5101436125187,106.7869179368398,108.86474609375,39698000,105.14757405492871,3.717172038821289
2022-06-16,106.3420799988214,107.75787626146192,104.27615475355856,105.16431427001952,51684000,104.44700798042379,0.7173062895957258
2022-06-17,105.16431896946578,107.80846549966309,104.18491071395393,106.26522064208984,51376000,104.2536652450421,2.0115553970477436
2022-06-21,108.03656858558828,111.56739132946274,107.70977129217108,110.629638671875,47416000,104.3303710886346,6.299267583240393
2022-06-22,109.6502478770662,112.41737098859431,109.47767062090766,110.57361602783205,30774000,104.66502042956492,5.9085955982671265
2022-06-23,111.3115103103694,111.81832309519362,109.5947045131696,111.3219223022461,28362000,104.9590229933871,6.362899308858999
2022-06-24,112.0687608319365,117.1110859364066,112.02660588324883,117.0079345703125,41164000,105.19321717041404,11.814717399898456
2022-06-27,117.3034891434814,117.60747238809732,114.23534152789628,114.8839874267578,36420000,105.2779414467256,9.606045980032192
2022-06-28,114.8532296266053,116.34788004318068,110.93114755882172,111.08934020996094,35792000,105.27629470792553,5.813045502035408
2022-06-29,110.63758563635704,112.23289804690752,109.96365128893204,110.78585815429688,24716000,105.1931711053753,5.592687048921576
2022-06-30,109.09830333262894,109.97902466562924,105.87494437052855,108.0698013305664,43170000,105.20500958098016,2.864791749586246
2022-07-01,107.0482435979797,108.35444913580424,105.85560141078064,107.84615325927734,35476000,105.371301642931,2.474851616346342
2022-07-05,106.22256636530622,112.44761288334064,104.86478520912014,112.33454895019533,39342000,105.66311915820262,6.671429791992708
2022-07-06,112.37324154606672,114.64198891272858,110.5622056578975,113.63282775878906,37432000,106.06560160665025,7.567226152138815
2022-07-07,114.13667714237224,118.21248816834331,113.89219960925531,117.80931854248048,40936000,106.44426096169337,11.36505758078711
2022-07-08,116.2888797500777,118.70391717679874,115.94323338269083,118.37513732910156,38238000,106.64333704074502,11.731800288356538
2022-07-11,117.03075205965408,117.03075205965408,114.38511466684228,114.72827911376952,31196000,106.72200488400644,8.00627422976308
2022-07-12,115.26235327439863,116.01513422724024,112.75805737728308,113.08584594726562,29960000,106.54466280564486,6.541183141620763
2022-07-13,110.78535950872109,113.25991018567451,110.28995752777116,110.44071197509766,43722000,106.2361241872841,4.204587787813551
2022-07-14,109.30708832837976,110.18235402261736,107.4846491160564,109.46279907226562,37004000,105.92225771110756,3.5405413611580627
2022-07-15,111.08241574521796,112.2130703596854,109.99093473931616,110.86123657226562,46770000,105.66187581263188,5.199360759633748
2022-07-18,111.71666191412224,112.74813768915692,107.48166747224792,108.1362533569336,43164600,105.54434503903673,2.5919083178968663
2022-07-19,109.94133235969358,113.08534523356836,108.66190591539451,112.87706756591795,36530900,105.61373347011228,7.263334095805675
2022-07-20,112.24231974638516,114.45404329391756,111.55798096785529,112.96633911132812,35600400,105.78697276639976,7.1793663449283684
2022-07-21,113.34321184946066,113.6110028170901,110.19919909252089,113.40271759033205,32676200,106.16456490610236,7.238152684229689
2022-07-22,110.09011304726144,111.41912519430016,105.62700035615626,107.0155258178711,48901200,106.7570783488986,0.2584474689724914
2022-07-25,107.52133180810117,108.96936280799288,105.42862755501386,106.6287078857422,34690900,107.54332334309646,-0.9146154573542589
2022-07-26,105.72617651509084,106.3212566791784,103.21691665250424,104.15912628173828,47991000,108.70313688896195,-4.544010607223669
2022-07-27,108.36436356281116,112.9762475648789,107.12461020563455,112.13320922851562,59858500,110.1465190763465,1.9866901521691318
2022-07-28,111.44887316623571,113.4027181473664,110.5463290686979,113.28370666503906,32816600,111.82488005717501,1.4588266078640544
2022-07-29,112.15305449933628,115.75329568436273,112.13321420730232,115.36649322509766,37223400,113.7778611906469,1.5886320344507538
2022-08-01,114.35485263414594,115.76321063113234,113.40271539749044,113.91845703125,26034300,115.80426055780676,-1.8858035265567565
2022-08-02,113.0655143870716,115.39624935448684,112.78781082558956,114.18624877929688,20236000,117.8207387912751,-3.6344900119782295
2022-08-03,114.76150045832908,117.64765022278551,114.53339005300344,117.11207580566406,28499000,119.75192516626161,-2.6398493605975517
