Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%),Win Rate(%),Total Return(%),# Trades
B&H,30.658,1.015,0.919,1.451,-33.361,25.616,55.1,121.636,
MACD,6.198,0.206,0.286,0.203,-21.677,16.274,28.1,19.599,
RSI,4.548,0.12,0.15,0.107,-30.223,19.6,21.3,14.155,
SMA,7.226,0.257,0.235,0.28,-30.763,17.632,33.5,23.077,
FinAgent(원본),14.522,0.634,0.573,0.696,-25.363,17.505,34.4,49.713,52.0
CWT-FinAgent(제안),34.251,1.657,4.031,1.945,-8.496,16.152,29.3,140.274,28.0
