Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%)
B&H,23.312,0.765,1.783,0.961,-13.077,26.942
MACD,-5.709,-0.746,-0.794,-0.775,-7.194,12.247
RSI,0.0,0.0,0.0,-4000000.0,0.0,0.0
FinAgent(원본),-12.659,-0.73,-0.801,-0.599,-15.796,20.958
CWT-FinAgent(제안),29.782,1.324,4.473,1.688,-6.658,17.856
