Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%)
B&H,36.468,0.801,1.115,1.255,-32.72,48.256
MACD,10.529,0.348,0.618,0.432,-17.049,29.261
RSI,24.141,0.647,0.847,0.848,-28.503,38.617
FinAgent(원본),48.34,1.132,2.422,1.361,-19.961,37.497
CWT-FinAgent(제안),80.093,1.79,6.221,2.477,-12.875,33.799
