Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%)
B&H,12.738,0.526,0.853,0.704,-14.932,18.395
MACD,9.607,0.531,1.501,0.432,-6.4,10.861
RSI,11.221,0.537,0.933,0.532,-12.024,14.229
FinAgent(원본),1.986,-0.067,0.139,-0.069,-14.323,14.53
CWT-FinAgent(제안),26.244,1.583,3.214,1.749,-8.166,12.709
