Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%),Win Rate(%),Total Return(%),# Trades
B&H,53.04,1.425,1.78,2.084,-29.806,30.294,55.9,254.827,
MACD,22.54,0.845,1.102,0.921,-20.446,22.241,28.3,83.117,
RSI,7.366,0.29,0.442,0.189,-16.676,14.137,12.1,23.555,
SMA,31.161,1.042,1.743,1.235,-17.879,25.248,37.5,124.185,
FinAgent(원본),21.998,0.782,0.68,0.957,-32.34,23.994,34.4,80.72,67.0
CWT-FinAgent(제안),39.986,1.437,2.366,1.539,-16.901,22.383,29.5,172.129,28.0
