Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%)
B&H,44.476,1.237,2.548,1.947,-17.453,30.173
MACD,-20.546,-1.497,-1.06,-1.354,-19.377,17.055
RSI,0.0,0.0,0.0,-4000000.0,0.0,0.0
FinAgent(원본),4.004,0.103,0.232,0.136,-17.257,21.461
CWT-FinAgent(제안),37.667,1.475,5.161,2.068,-7.299,20.35
