Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%),Win Rate(%),Total Return(%),# Trades
B&H,39.782,1.083,1.288,1.646,-30.877,31.954,53.3,170.951,
MACD,-0.389,-0.07,-0.013,-0.075,-30.677,23.49,24.5,-1.153,
RSI,16.638,0.667,0.786,0.565,-21.18,20.054,17.7,58.1,
SMA,13.902,0.492,0.783,0.642,-17.752,24.326,33.5,47.317,
FinAgent(원본),16.731,0.599,0.903,0.767,-18.52,23.911,32.9,58.474,61.0
CWT-FinAgent(제안),41.902,1.487,2.887,1.87,-14.512,22.553,26.9,183.363,30.0
