Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%),Win Rate(%),Total Return(%),# Trades
B&H,27.969,1.006,1.179,1.529,-23.727,23.214,54.4,108.338,
MACD,2.34,-0.018,0.097,-0.018,-24.125,16.65,25.6,7.126,
RSI,11.643,0.666,1.449,0.435,-8.033,11.508,11.2,38.789,
SMA,9.206,0.361,0.306,0.414,-30.121,17.588,31.9,29.965,
FinAgent(원본),11.316,0.468,0.501,0.536,-22.591,17.687,32.7,37.583,61.0
CWT-FinAgent(제안),26.035,1.243,2.043,1.41,-12.741,16.496,30.1,99.104,30.0
