Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%)
B&H,24.5,0.936,1.886,1.429,-12.988,21.634
MACD,8.359,0.331,0.842,0.338,-9.928,16.019
RSI,0.0,0.0,0.0,-4000000.0,0.0,0.0
FinAgent(원본),16.964,0.712,1.906,0.921,-8.9,18.87
CWT-FinAgent(제안),18.256,0.826,2.131,1.031,-8.565,17.242
