Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%),Win Rate(%),Total Return(%),# Trades
B&H,62.011,1.034,1.153,1.702,-53.766,60.094,52.0,320.379,
MACD,68.532,1.361,1.909,1.748,-35.904,41.741,29.1,372.773,
RSI,31.482,0.78,0.649,0.863,-48.54,40.006,21.7,125.822,
SMA,35.374,0.826,0.686,0.982,-51.583,42.981,31.3,146.307,
FinAgent(원본),53.289,1.125,1.531,1.478,-34.797,42.291,30.0,256.548,60.0
CWT-FinAgent(제안),109.414,1.888,3.206,2.377,-34.123,41.552,28.7,802.349,28.0
