Date,Open,High,Low,Close,Volume
2019-01-02,36.784145853458895,37.724590460067255,36.6274044817337,37.503726959228516,148158800
2019-01-03,34.19318320289865,34.606409542440964,33.72296262600118,33.76808547973633,365248800
2019-01-04,34.323789806748884,35.27848283128066,34.15042635194018,35.20960998535156,234428400
2019-01-07,35.31409809069179,35.34497236963013,34.649137872444925,35.13123321533203,219111200
2019-01-08,35.51835583150387,36.05507575894766,35.271372331890156,35.80096435546875,164101200
2019-01-09,35.92920207933708,36.698656883144814,35.53497865783523,36.4089241027832,180396400
2019-01-10,36.21656317460985,36.56566738494656,35.827086836894935,36.52529525756836,143122800
2019-01-11,36.306798636311406,36.50153493832651,35.98144090958733,36.16667938232422,108092800
2019-01-14,35.82469358689695,35.92443707447227,35.437591014081455,35.62282943725586,129756800
2019-01-15,35.686968193150925,36.427922231509605,35.63472106236991,36.3519287109375,114843600
2019-01-16,36.354297134089684,37.01925755806657,36.33529785069117,36.7960205078125,122278800
2019-01-17,36.620280311678194,37.441982116151216,36.397043258635236,37.01450729370117,119284800
2019-01-18,37.40397730943639,37.49422298571699,37.042998228056234,37.242488861083984,135004000
2019-01-22,37.145131887501456,37.221125412180456,36.245059232557935,36.406551361083984,121576000
2019-01-23,36.60839644975298,36.843508451155465,36.02655757117239,36.553775787353516,92522400
2019-01-24,36.59890508773824,36.68677359804413,36.036065388764655,36.2640495300293,101766000
2019-01-25,36.92426561509673,37.55360472379612,36.64878503179591,37.46573257446289,134142000
2019-01-28,36.99787950771421,37.12612375920128,36.49203765099391,37.11899948120117,104768400
2019-01-29,37.107122292669665,37.55359634769264,36.598903290698956,36.73426818847656,166348800
2019-01-30,38.76953549752979,39.45824248872348,38.05232776188589,39.2445068359375,244439200
2019-01-31,39.44873274205534,40.13506597381766,39.080629341215584,39.527103424072266,162958400
2019-02-01,39.65060250317511,40.13032086817942,39.405988969666886,39.54610824584961,130672400
2019-02-04,39.75745564554308,40.76676920385705,39.726581365338454,40.66939926147461,125982000
2019-02-05,41.051770453647194,41.57898889745914,40.93065407418794,41.36524963378906,144406400
2019-02-06,41.47687152980109,41.6953615388557,41.04940021543949,41.3795051574707,112958400
2019-02-07,40.94250628344394,41.30823605002897,40.453286643231856,40.59577941894531,126966800
2019-02-08,40.304814408336355,40.70311587039723,40.16886530680823,40.643489837646484,95280000
2019-02-11,40.79614260033379,40.83430414432402,40.36683432865648,40.40976333618164,83973600
2019-02-12,40.56955604622166,40.78420831850001,40.47415220576565,40.757972717285156,89134000
2019-02-13,40.877214588225634,41.1371831649396,40.52661329551529,40.588623046875,89960800
2019-02-14,40.476534988953155,40.84621345605926,40.39782819422876,40.73650360107422,87342800
2019-02-15,40.84383289109825,40.95115902339319,40.48607669059228,40.6458740234375,98507200
2019-02-19,40.4765339806188,40.88914507060669,40.42406278544301,40.76750564575195,75891200
2019-02-20,40.82952266876856,41.33753763113266,40.78182257054154,41.02986526489258,104457600
2019-02-21,40.97500202127681,41.11094745560871,40.617245898225995,40.79850769042969,68998800
2019-02-22,40.92253446530428,41.26120985514692,40.87483437251925,41.25405502319336,75652800
2019-02-25,41.53787203627776,41.94571198087244,41.48778457748155,41.5545654296875,87493600
2019-02-26,41.43054735944564,41.80976799171946,41.30175311196315,41.57841873168945,68280800
2019-02-27,41.311307838567444,41.73822869074752,41.19682321958781,41.70722198486328,111341600
2019-02-28,41.5760424809069,41.71675904686079,41.242134508972,41.29698944091797,112861600
2019-03-01,41.56650302616348,41.77400047236852,41.234982402793754,41.73107147216797,103544800
2019-03-04,41.902790767174956,42.39410868782575,41.4925633764932,41.94095230102539,109744800
2019-03-05,41.962426871459,41.97673654026667,41.62851882904494,41.86463928222656,78949600
2019-03-06,41.65952294909317,41.85509811540578,41.48541592394316,41.623748779296875,83241600
2019-03-07,41.46871346445025,41.60466257047475,41.027482991072056,41.141963958740234,99185600
2019-03-08,40.622028843980345,41.27791526082564,40.426453692828076,41.23975372314453,95997600
2019-03-11,41.85509203085361,42.72085956762917,41.82170159746949,42.66838836669922,128044000
2019-03-12,42.93074933970799,43.56755501819949,42.7804905524479,43.147789001464844,129870400
2019-03-13,43.46737552238741,43.71780557424151,43.15016460861008,43.338584899902344,124130000
2019-03-14,43.86090735580744,43.9086110924784,43.5413127001033,43.82036209106445,94318000
2019-03-15,44.08748706861486,44.678976254213644,43.82274735566281,44.390384674072266,156171600
2019-03-18,44.314075897314986,44.931800829531916,44.31168852645204,44.84355545043945,104879200
2019-03-19,44.92224984377744,45.074892326124115,44.34268297347357,44.4881706237793,126585600
2019-03-20,44.41663055512888,45.194156478384144,44.058874300168924,44.87694549560547,124140800
