Date,Open,High,Low,Close,Volume
2019-01-02,50.93899348883383,52.60472690168377,50.843779752140335,52.30173110961914,31868000
2019-01-03,52.1028687333839,52.8759780134997,50.699466979891106,50.85319519042969,41960000
2019-01-04,51.700692372040024,53.55734876361941,51.41802873823579,53.461639404296875,46022000
2019-01-07,53.605447431420956,53.69123663835179,52.6964601806528,53.355018615722656,47446000
2019-01-08,53.854886302804,54.21937410077029,52.979620715422925,53.823646545410156,35414000
2019-01-09,53.95357056046775,54.134573486464355,53.27814940807045,53.63916778564453,26998000
2019-01-10,53.30641921144527,53.547922917061186,52.79762396249132,53.499324798583984,26598000
2019-01-11,53.056490286355086,53.228568134505245,52.388511032973454,52.78721618652344,30864000
2019-01-14,52.2352805449362,52.48868696018829,51.99774560855751,52.14453125,28490000
2019-01-15,52.46685849321779,53.96745642029301,52.28982059636427,53.88017654418945,37518000
2019-01-16,54.05325069106837,54.666184830089556,53.95456755691764,54.02894973754883,38280000
2019-01-17,53.95357453146832,54.58386323084634,53.71900961368092,54.50551223754883,24896000
2019-01-18,54.97513352063556,55.44177767329486,54.51344944130372,54.911163330078125,44892000
2019-01-22,54.35078698504477,54.49807201599434,53.105577913242634,53.48940658569336,39632000
2019-01-23,53.89753635595871,54.19954087399449,52.94094594559311,53.77604293823242,25194000
2019-01-24,53.68182026674649,53.95407191142613,53.06243916780323,53.75571060180664,29114000
2019-01-25,54.263016457589686,54.71577542869572,54.14251429554499,54.6240348815918,23260000
2019-01-28,54.05672457402515,54.22036915695017,53.29005842382145,53.55040740966797,29334000
2019-01-29,53.6089221228322,53.7919113705398,52.86407877841263,53.064422607421875,19704000
2019-01-30,53.42642809001765,54.52534718103893,53.39072388882378,54.4494743347168,29452000
2019-01-31,55.15613401300113,55.92130947092157,54.80950019306475,55.833038330078125,40232000
2019-02-01,55.65451311988307,56.25505273717581,55.25581177728074,55.47251892089844,33116000
2019-02-04,55.491862423764644,56.64880046780075,55.41747645791283,56.60317611694336,78408000
